flow_duration,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_length_mean,packet_length_std,iat_mean,iat_std,syn_count,ack_count,src_port,dst_port,protocol
230.8980836868286,876,0,2732222,0,3118.9748858447488,4567.818987087506,0.2638835242135184,0.913725363405249,0,876,443,37404,6
230.11125016212463,675,0,252464,0,374.02074074074073,471.21322627202835,0.34141135038890896,1.0087886151586347,0,675,37404,443,6
230.1951744556427,310,0,381068,0,1229.2516129032258,889.1613778744211,0.744968202121821,1.5625430545692007,0,310,9300,53698,6
228.30655670166016,279,0,68694,0,246.21505376344086,278.1160353612985,0.8212466068405042,1.5556816960204527,0,279,53698,9300,6
228.27827262878418,1759,0,452744,0,257.3871517907902,421.24179561093905,0.12985112208690794,0.5565630351769915,0,1759,39212,9954,6
227.73166966438293,3534,0,7006666,0,1982.6445953593661,807.9138920405445,0.06445844032391251,0.40618532844515937,0,3534,9954,39212,6
224.23625421524048,1873,0,432082,0,230.68980245595301,395.1660021023262,0.1197843238329276,0.6072140851805712,0,1873,53594,9001,6
224.18666410446167,3642,0,6793602,0,1865.3492586490938,793.1040713819153,0.06157282727395267,0.4451719223309103,0,3642,9001,53594,6
0.7783520221710205,2,0,120,0,60.0,8.48528137423857,0.7783520221710205,0.0,0,1,443,37566,6
3.7670135498046875e-05,2,0,156,0,78.0,16.97056274847714,3.7670135498046875e-05,0.0,0,2,37566,443,6
1.106055736541748,2,0,154,0,77.0,0.0,1.106055736541748,0.0,0,0,5353,5353,17
181.88360285758972,4,0,1304,0,326.0,0.0,60.62786761919657,0.1634015605658702,0,0,68,9040,17
